table_name,table_description,column,description
assessment_dim,"The assessment dimension provides descriptive data about a specific  assessment.
",assessment_id,The unique id of the assessment id.
assessment_dim,"The assessment dimension provides descriptive data about a specific  assessment.
",title,The title of the assessment.
assessment_dim,"The assessment dimension provides descriptive data about a specific  assessment.
",slug,The slug of The assessment.
assessment_dim,"The assessment dimension provides descriptive data about a specific  assessment.
",technology,"The assessment technology (e.g., Python, R, SQL)
"
assessment_dim,"The assessment dimension provides descriptive data about a specific  assessment.
",id,"[DEPRECATED] Use assessment_id instead.
"
chapter_dim,"The chapter dimension provides descriptive data about a specific chapter.  Because the model considers users’ progress on all chapters (i.e., even  chapters that are no longer available), there is a specific row with the  id = -1. This row is used in the chapter fact table to refer to a deleted  chapter.
",chapter_id,The unique id of the chapter id.
chapter_dim,"The chapter dimension provides descriptive data about a specific chapter.  Because the model considers users’ progress on all chapters (i.e., even  chapters that are no longer available), there is a specific row with the  id = -1. This row is used in the chapter fact table to refer to a deleted  chapter.
",title,The title of the chapter.
chapter_dim,"The chapter dimension provides descriptive data about a specific chapter.  Because the model considers users’ progress on all chapters (i.e., even  chapters that are no longer available), there is a specific row with the  id = -1. This row is used in the chapter fact table to refer to a deleted  chapter.
",slug,The slug of the chapter.
chapter_dim,"The chapter dimension provides descriptive data about a specific chapter.  Because the model considers users’ progress on all chapters (i.e., even  chapters that are no longer available), there is a specific row with the  id = -1. This row is used in the chapter fact table to refer to a deleted  chapter.
",xp,"The maxmimum number of XP a user can get by completing the chapter.
"
chapter_dim,"The chapter dimension provides descriptive data about a specific chapter.  Because the model considers users’ progress on all chapters (i.e., even  chapters that are no longer available), there is a specific row with the  id = -1. This row is used in the chapter fact table to refer to a deleted  chapter.
",technology,"The course technology  (e.g., Tableau, SQL, Python, R, ...).
"
chapter_dim,"The chapter dimension provides descriptive data about a specific chapter.  Because the model considers users’ progress on all chapters (i.e., even  chapters that are no longer available), there is a specific row with the  id = -1. This row is used in the chapter fact table to refer to a deleted  chapter.
",topic,"The course topic (e.g., Data visualization, Programmaing, Machine Learning, ...).
"
